Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
D’wer,,,,HOMME,212,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
Dag,,,,HOMME,213,,0,0,0,73,25,2,0,0,0,0,0,0,0,0,0,100
Dalma,,,,FEMME,214,,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
Dalova,,,,FEMME,215,,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,13
Danegga,,,,FEMME,216,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Dangel,,,,HOMME,217,,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
Danja,,,,FEMME,218,,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19
Dannell,,,,HOMME,219,,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
David,Catarel,Dave,,HOMME,220,,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Debera,Deb,,,FEMME,221,,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,172
Decker,,,,,222,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Deckter,,,,HOMME,223,,0,1,0,0,0,0,0,0,0,0,0,20,0,7,3,31
Declan,,,,HOMME,224,,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,11
Deece,,,,HOMME,225,,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5
Deefer,,,,HOMME,226,,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,13
Deegan,,,,HOMME,227,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Deelan,,,,FEMME,228,,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18
Delart,,,,FEMME,229,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Denol,,,,HOMME,230,,0,4,0,0,0,17,0,0,0,0,0,0,0,14,1,36
Dermently,,,,HOMME,231,,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,6
Desdra,,,,FEMME,232,,0,0,0,141,70,1,0,0,0,0,0,0,0,0,0,212
Diatis,,,,HOMME,233,,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,6
Dieter,Clissmann,,,HOMME,234,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Diona,,,,FEMME,235,,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,19
Dirzan,,,,HOMME,236,,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,88
Domaize,,,,HOMME,237,,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,34
Domick,,,,HOMME,238,,0,0,0,0,0,1,2,0,0,0,172,32,0,8,0,215
Dorai,,,,HOMME,239,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Doral,,,,HOMME,240,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
Dorse,,,,HOMME,241,,0,0,0,0,0,11,0,0,0,0,0,0,25,0,20,56
Dowell,,,,FEMME,242,True,0,0,0,0,0,53,0,0,0,0,0,0,0,2,0,55
Drake,Bonneau,,,HOMME,243,,83,1,0,0,0,1,0,0,0,0,0,0,0,1,0,86
Dresda,,,,FEMME,244,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Dugall,,,,HOMME,245,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Dulsay,,,,FEMME,246,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,15
Dunca,,,,FEMME,247,,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,98
Dunegrine,,,,,248,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Durak,,,,,249,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Durras,,,,FEMME,250,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Dushik,,,,HOMME,251,,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,65
Eddik,,,,HOMME,252,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Effram,,,,,253,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Egara,,,,FEMME,254,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Elgion,,,,HOMME,255,,0,0,0,0,0,0,0,0,0,154,8,0,0,0,0,162
Elimona,,,,FEMME,256,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Emilin,,,,HOMME,257,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Emily,Boll,Em,,FEMME,258,,245,6,10,14,5,14,13,3,22,0,5,1,4,7,31,380
Empie,,,,FEMME,259,,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
Emsor,,,,HOMME,260,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Eric,Hegelman,,,HOMME,261,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Erkin,,,,HOMME,262,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Erragon,,,,HOMME,263,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137
Esrella,,,,FEMME,264,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Esselin,,,,HOMME,265,True,0,0,0,0,0,29,0,0,0,0,0,0,0,44,32,105
Evan,,,,FEMME,266,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16
Evarel,,,,HOMME,267,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18
Evelene,,,,FEMME,268,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Evenek,,,,HOMME,269,,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17
Ezra,Keroon,,,HOMME,270,,123,2,13,82,16,41,10,25,18,2,0,2,11,13,36,394
F’duril,,,,HOMME,271,,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,22
F’gal,,,,HOMME,272,,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,17
F’lar,Falla,Fallarnon,,HOMME,273,,0,76,0,0,0,66,80,846,854,16,1,13,406,371,209,2938
F’lessan,,,,HOMME,274,,0,23,0,0,0,0,0,0,0,0,0,0,30,77,729,859
F’lon,Falloner,,,HOMME,275,True,0,0,0,0,0,0,438,7,0,0,0,0,0,0,0,445
