sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,text_lemma
16763,Le Seigneur des Anneaux,,,286,286,291,"«Mettez-nous parmi les quatre, auprès de l'Homme (les Grandes Gens), et vous y serez» «Heu!","«Metteznous parmi le quatre, auprès de leHomme (le Grand Gens), et vous y être» «Heu!"
16764,Le Seigneur des Anneaux,,,286,286,291,"Pas mal, pas mal, dit Sylvebarbe.","Pas mal, pas mal, dire Sylvebarbe."
16765,Le Seigneur des Anneaux,,,286,286,291,Ça irait.,Cela aller.
16766,Le Seigneur des Anneaux,,,286,286,291,"Ainsi vous vivez dans des trous, hein?","Ainsi vous vivre dans un trou, hein?"
16767,Le Seigneur des Anneaux,,,286,286,291,Cela paraît très bien et convient parfaitement.,Celer paraître très bien et convier parfaitement.
16768,Le Seigneur des Anneaux,,,286,286,291,Qui vous appelle Hobbits toutefois?,Qui vous appeler Hobbit toutefois?
16769,Le Seigneur des Anneaux,,,286,286,291,Cela ne me semble pas elfique.,Celer ne me sembler pas elfique.
16770,Le Seigneur des Anneaux,,,286,286,291,"Les Elfes ont créé tous les anciens mots, ce sont eux qui ont commencé la chose» «Personne d'autre ne nous appelle Hobbits, nous nous nommons ainsi nous-mêmes», dit Pippin.","Le Elfe avoir créer tout le ancien mot, ce être lui qui avoir commencer le chose» «Personne deautre ne nous appeler Hobbit, nous nous nommer ainsi nous-même», dire Pippin."
16771,Le Seigneur des Anneaux,,,286,286,291,"«Houm, hmm !","«Houm, hmm !"
16772,Le Seigneur des Anneaux,,,286,286,291,Allons!,Allons!
16773,Le Seigneur des Anneaux,,,286,286,291,Pas si vite!,Pas si vite!
16774,Le Seigneur des Anneaux,,,286,286,291,Vous vous nommez vous-mêmes Hobbits?,Vous vous nommer vous-même Hobbit?
16775,Le Seigneur des Anneaux,,,286,286,291,Mais vous ne devriez pas aller le raconter à n'importe qui.,Mais vous ne devoir pas aller le raconter à neimporter qui.
16776,Le Seigneur des Anneaux,,,286,286,291,"Vous allez révéler vos propres noms réels, si vous ne faites pas attention» «Nous ne faisons pas attention à cela, dit Merry.","Vous aller révéler votre propre nom réel, si vous ne faire pas attention» «Nous ne faire pas attention à celer, dire Merry."
16777,Le Seigneur des Anneaux,,,286,286,291,"En fait, je suis un Brandebouc, Meriadoc Brandebouc, encore que la plupart des gens m'appellent Merry» «Et moi, je suis un Touque, Peregrïn Touque, mais on me nomme généralement Pippin, ou même Pip» «Hm, vous êtes vraiment des gens irréfléchis, dit Sylvebarbe.","En fait, je être un Brandebouc, Meriadoc Brandebouc, encore que le plupart de gens meappeler Merry» «Et moi, je être un Touque, Peregrïn Touque, mais on me nommer généralement Pippin, ou même Pip» «Hm, vous être vraiment de gens irréfléchi, dire Sylvebarbe."
16778,Le Seigneur des Anneaux,,,286,286,291,"Votre confiance m'honore, mais vous ne devriez pas être trop francs tout de suite.","Votre confiance mehonorer, mais vous ne devoir pas être trop franc tout de suite."
16779,Le Seigneur des Anneaux,,,286,286,291,"Il y a Ents et Ents, vous savez, ou il y a des Ents et des choses qui ressemblent aux Ents, mais qui n'en sont pas, pour ainsi dire.","Il y avoir Ent et Ent, vous savoir, ou il y avoir un Ent et de chose qui ressembler à Ent, mais qui neen être pas, pour ainsi dire."
16780,Le Seigneur des Anneaux,,,286,286,291,"Je vous appellerai Merry et Pippin, s'il vous plaît ce sont de jolis noms.","Je vous appeler Merry et Pippin, seil vous plaire ce être de joli nom."
16781,Le Seigneur des Anneaux,,,286,286,291,"Car moi, je ne vais pas vous donner le mien, pas encore, en tout cas»","Car moi, je ne aller pas vous donner le mien, pas encore, en tout cas»"
16782,Le Seigneur des Anneaux,,,286,286,291,"Une curieuse expression mi-entendue, mi-humoristique se montra dans un scintillement vert des yeux.","Un curieux expression mi-entendu, mi-humoristique se montrer dans un scintillement vert un oeil."
